iso_code,cooking,electricity,country_name,continent,gdp_per_capita,population,population_annotation
MOZ,5.1,30.6,Mozambique,Africa,546.72,32163045.0,32.16
MRT,42.6,47.35,Mauritania,Africa,2141.06,4775110.0,4.78
MUS,96.8,99.66,Mauritius,Africa,8892.1,1266060.0,1.27
MWI,1.0,14.87,Malawi,Africa,545.07,19647681.0,19.65
MYS,95.5,100.0,Malaysia,Asia,13268.34,32776195.0,32.78
NAM,46.8,56.26,Namibia,Africa,5016.17,2587344.0,2.59
NCL,,100.0,New Caledonia,Oceania,,272620.0,0.27
NER,2.4,19.25,Niger,Africa,598.85,25130810.0,25.13
NGA,15.0,55.4,Nigeria,Africa,2355.69,211400704.0,211.4
NIC,56.2,88.91,Nicaragua,America,2384.0,6702379.0,6.7
NLD,100.0,100.0,Netherlands,Europe,57835.72,17533405.0,17.53
NOR,100.0,100.0,Norway,Europe,99480.86,5408320.0,5.41
NPL,34.8,89.9,Nepal,Asia,1203.08,29674920.0,29.67
NRU,100.0,100.0,Nauru,Oceania,10004.73,10873.0,0.01
NZL,100.0,100.0,New Zealand,Oceania,49847.3,5122600.0,5.12
OMN,100.0,100.0,Oman,Asia,23416.49,5223376.0,5.22
PAK,49.3,75.38,Pakistan,Asia,1562.26,225199929.0,225.2
PAN,87.6,96.7,Panama,America,16037.64,4381583.0,4.38
PER,85.1,99.31,Peru,America,7034.45,33359416.0,33.36
PHL,48.0,96.84,Philippines,Asia,3686.84,111046910.0,111.05
PLW,100.0,100.0,Palau,Oceania,13705.64,18174.0,0.02
PNG,9.4,60.4,Papua New Guinea,Oceania,3269.47,9119005.0,9.12
POL,100.0,100.0,Poland,Europe,18505.72,37781024.0,37.78
PRI,,100.0,Puerto Rico,America,37822.59,3263584.0,3.26
PRK,11.5,52.31,North Korea,Asia,,25887045.0,25.89
PRT,100.0,100.0,Portugal,Europe,24495.21,10299423.0,10.3
PRY,68.6,100.0,Paraguay,America,5626.08,7219641.0,7.22
PSE,,100.0,Palestine,Asia,,4922749.0,4.92
PYF,,100.0,French Polynesia,Oceania,,282534.0,0.28
QAT,100.0,100.0,Qatar,Asia,84514.14,2930524.0,2.93
ROU,87.7,100.0,Romania,Europe,14825.21,19115146.0,19.12
RUS,86.3,100.0,Russia,Europe,12574.93,143446060.0,143.45
RWA,2.4,46.6,Rwanda,Africa,909.91,13276517.0,13.28
SAU,100.0,100.0,Saudi Arabia,Asia,28759.28,35340680.0,35.34
SDN,54.7,55.39,Sudan,Africa,673.94,44909351.0,44.91
SEN,24.2,70.37,Senegal,Africa,1608.64,17196308.0,17.2
SGP,100.0,100.0,Singapore,Asia,79575.89,5453566.0,5.45
SLB,9.1,73.35,Solomon Islands,Oceania,2333.76,703995.0,0.7
SLE,0.800000000000001,26.2,Sierra Leone,Africa,513.34,8141343.0,8.14
SLV,91.8,100.0,El Salvador,America,4689.35,6518500.0,6.52
SMR,100.0,100.0,San Marino,Europe,49901.12,34010.0,0.03
SOM,3.2,49.73,Somalia,Africa,543.83,16359500.0,16.36
SRB,79.8,100.0,Serbia,Europe,9502.71,6844078.0,6.84
SSD,0.0,7.24,South Sudan,Africa,392.7,11381377.0,11.38
STP,3.29999999999999,76.56,Sao Tome and Principe,Africa,2315.16,223364.0,0.22
SUR,94.5,98.2,Suriname,America,4842.75,591798.0,0.59
SVK,100.0,100.0,Slovakia,Europe,21665.37,5447247.0,5.45
SVN,100.0,100.0,Slovenia,Europe,30159.14,2107007.0,2.11
SWE,100.0,100.0,Sweden,Europe,57977.7,10415811.0,10.42
SWZ,55.4,79.73,Eswatini,Africa,4035.54,1172369.0,1.17
SXM,,100.0,Sint Maarten,America,,42846.0,0.04
SYC,100.0,100.0,Seychelles,Africa,17693.0,99202.0,0.1
SYR,96.9,89.14,Syria,Asia,,18275704.0,18.28
TCA,,99.4,Turks and Caicos Islands,America,,39226.0,0.04
TCD,6.79999999999999,11.08,Chad,Africa,742.94,16914985.0,16.91
